한자,뜻,훈,음
冠,갓 관,かん,かんむり
貫,꿸 관,かん,つらぬく
棺,널 관,かん,ひつぎ
款,항목 관,かん,
寛,너그러울 관,かん,くつろぐ
括,묶을 괄,かつ,くくる
広,넓을 광,こう,ひろい、ひろまる、ひろめる、ひろがる、ひろげる
光,빛 광,こう,ひかる、ひかり
鉱,쇳돌 광,こう,
狂,미칠 광,きょう,くるう、くるおしい
掛,걸 괘,,かける、かかる
怪,괴이할 괴,かい,あやしい、あやしむ
拐,후릴 괴,かい,
塊,덩어리 괴,かい,かたまり
壊,무너질 괴,かい,こわす、こわれる
校,학교 교,こう,
交,사귈 교,こう,まじわる、まじえる、まざる、かう、かわす
教,가르칠 교,きょう,おしえる、おそわる
橋,다리 교,きょう,はし
巧,공교할 교,こう,たくみ
郊,들 교,こう,
絞,목맬 교,こう,しぼる、しめる、しまる
較,견줄 교,かく,
矯,바로잡을 교,きょう,ためる
九,아홉 구,きゅう、く,ここの、ここのつ
口,입 구,こう、く,くち
区,구분할 구,く,
究,연구할 구,きゅう,きわめる
具,갖출 구,ぐ,そなわる
球,공 구,きゅう,たま
求,구할 구,きゅう,もとめる
救,구원할 구,きゅう,すくう
久,오랠 구,きゅう、く,ひさしい
句,글귀 구,く,
旧,예 구,きゅう,
構,얽을 구,こう,かまえる、かまう
勾,굽을 구,こう,
岡,언덕 구,きゅう,おか
臼,절구 구,きゅう,うす
殴,때릴 구,おう,なぐる
欧,구라파 구,おう,
拘,잡을 구,こう,
惧,두려워할 구,ぐ,
駆,몰 구,く,かける、かる
溝,도랑 구,こう,みぞ
駒,망아지 구,,こま
購,살 구,こう,
国,나라 국,こく,くに
局,판 국,きょく,
菊,국화 국,きく,
君,임금 군,くん,きみ
軍,군사 군,ぐん,
郡,고을 군,ぐん,
群,무리 군,ぐん,むれる、むら
屈,굽힐 굴,くつ,
掘,팔 굴,くつ,ほる
堀,굴 굴,,ほり
窟,굴 굴,くつ,
弓,활 궁,きゅう,ゆみ
宮,집 궁,きゅう、ぐう、く,みや
窮,다할、 궁할 궁,きゅう,きわめる、きわまる
券,문서 권,けん,
巻,책 권,かん,まく、まき
権,권세 권,けん、ごん,
拳,주먹 권,けん,こぶし
圏,우리 권,けん,
勧,권할 권,かん,すすめる
机,책상 궤,き,つくえ
軌,바퀴자국 궤,き,
潰,무너질 궤,かい,つぶす、つぶれる
帰,돌아갈 귀,き,かえる、かえす
貴,귀할 귀,き,たっとい、たっとぶ、とうとい、とうとぶ
鬼,귀신 귀,き,おに
亀,거북 귀、 터질 균,き,かめ
規,법 규,き,
叫,부르짖을 규,きょう,さけぶ
糾,규탄할 규,きゅう,
均,고를 균,きん,
菌,버섯 균,きん,
極,다할 극,きょく、ごく,きわめる、きわまる、きわみ
劇,심할 극,げき,
克,이길 극,こく,
隙,틈 극,げき,すき
近,가까울 근,きん,ちかい
根,뿌리 근,こん,ね
勤,부지런할 근,きん,つとめる、つとまる
筋,힘줄 근,きん,すじ
斤,근 근,きん,
僅,겨우 근,きん,わずか
謹,삼갈 근,きん,つつしむ
金,쇠 금,きん、こん,かね、かな
今,이제 금,こん、きん,いま
禁,금할 금,きん,
琴,거문고 금,きん,こと
錦,비단 금,きん,にしき
襟,옷깃 금,きん,えり
急,급할 급,きゅう,いそぐ
級,등급 급,きゅう,
給,줄 급,きゅう,
及,미칠 급,きゅう,およぶ、および、およぼす
扱,미칠 급,,あつかう
肯,즐길 긍,こう,
気,기운 기,き、け,
汽,물 끓는 김 기,き,
記,기록할 기,き,しるす
期,기약할 기,き、ご,
起,일어날 기,き,おきる、おこる、おこす
紀,벼리 기,き,
旗,기 기,き,はた
器,그릇 기,き,うつわ
機,베틀 기,き,はた
技,재주 기,ぎ,わざ
寄,부칠 기,き,よる、よせる
基,터 기,き,もと、もとい
己,몸 기,こ、き,おのれ
企,꾀할 기,き,くわだてる、たくらむ
肌,살 기,,はだ
伎,재간 기,ぎ、き,
岐,갈림길 기,き,
忌,꺼릴 기,き,いむ、いまわしい
奇,기특할 기,き,
祈,빌 기,き,いのる
既,이미 기,き,すでに
飢,주릴 기,き,うえる
埼,갑 기,,さい
崎,험할 기,,さき
幾,몇 기,き,いく
棋,바둑 기,き,
欺,속일 기,ぎ,あざむく
碁,바둑 기,ご,
棄,버릴 기,き,
畿,경기 기,き,
騎,말탈 기,き,
緊,긴할 긴,きん,
吉,길할 길,きち、きつ,
喫,먹을 끽,きつ,
那,어찌 나,な,
奈,어찌 나,な,
諾,허락할 낙,だく,
難,어려울 난,なん,かたい、むずかしい
暖,따뜻할 난,だん,あたたか、あたたかい、あたたまる、あたためる
男,사내 남,だん、なん,おとこ
南,남녘 남,なん,みなみ
納,들일 납,のう、なつ,おさまる、おさめる
娘,여자 낭,,むすめ
内,안 내,ない、だい,うち
匂,향내 내,,みおう
耐,견딜 내,たい,たえる
女,여자 녀,じょ、にょ、にょう,おんな
年,해 년,ねん,とし
念,생각 념,ねん,
寧,편안할 녕,ねい,
努,힘쓸 노,ど,つとめる
奴,종 노,ど,やつ、やっこ
怒,성낼 노,ど,いかる、おこる
農,농사 농,のう,
濃,짙을 농,のう,こい
脳,골 뇌,のう,
悩,번뇌할 뇌,のう,なやむ、なやます、なやましい
尿,오줌 뇨,にょう,
能,능할 능,のう,
尼,여승 니,に,あま
泥,진흙 니,でい,どろ
匿,숨길 닉,とく,
多,많을 다,た,おおい
短,짧을 단,たん,みじかい
単,홑 단,たん,
団,둥글 단,だん、とん,
断,끊을 단,だん,たつ、ことわる
段,층계 단,だん,
丹,붉을 단,たん,
旦,아침 단,たん、だん,
但,다만 단,,ただし
端,끝 단,たん,はし、は、はた
壇,단 단,だん、たん,
鍛,쇠 불릴 단,たん,きたえる
達,통달할 달,たつ,
談,말씀 담,だん,
担,멜 담,たん,かつぐ、になう
胆,쓸개 담,たん,
淡,맑을 담,たん,あわい
曇,흐릴 담,どん,くもる
答,대답할 답,とう,こたえる
踏,밟을 답,とう,ふむ、ふまえる
当,마땅할 당,とう,あたる、あてる
堂,집 당,どう,
党,무리 당,とう,
糖,엿 당,とう,
唐,당나라、 당황할 당,とう,から
大,큰 대,だい、たい,おお、おおいに、おおきい
台,대 대、 태풍 태,だい、たい,
代,대신할 대,だい、たい,かわる、かえる、よ、しろ
対,대할 대,たい、つい,
待,기다릴 대,たい,まつ
帯,띠 대,たい,おびる、おび
隊,무리 대,たい,
貸,빌릴 대,たい,かす
袋,자루 대,たい,ふくろ
戴,일 대,たい,いただく
徳,큰 덕,とく,
刀,칼 도,とう,かたな
図,그림 도,ず、と,はかる
道,길 도,どう、とう,みち
度,법도 도,ど、と、たく,たび
島,섬 도,とう,しま
都,도읍 도,と、つ,みやこ
徒,무리 도,とどう,
導,인도할 도,とう,みちびく
到,이를 도,ちょう,いたる
挑,돋울 도,とう,いどむ
逃,도망할 도,とう,にげる、にがす、のがす、のがれる
倒,넘어질 도,とう,たおれる、たおす
途,길 도,と,
桃,복숭아 도,とう,もも
悼,슬퍼할 도,とう,いたむ
盗,도둑 도,とう,ぬすむ
陶,질그릇 도,とう,
渡,건널 도,と,わたる、わたす
