한자,뜻,훈,음
鼻,코 비,び,はな
飛,날 비,ひ,とぶ、とばす
費,쓸 비,ひ,ついやす、ついえる
比,견줄 비,ひ,くらべる
非,아닐 비,ひ,
肥,살찔 비,ひ,こえる、こえ、こやす
備,갖출 비,び,そなえる、そなわる
批,비평할 비,ひ,
秘,숨길 비,ひ,ひめる
妃,왕비 비,ひ,
沸,끓을 비,ふつ,わく、わかす
泌,분비할 비、 스며흐를 필,ひ、ひつ,
卑,낮을 비,ひ,いやしい、いやしむ、いやしめる
扉,사립문 비,ひ,とびら
碑,비석 비,ひ,いしぶみ
貧,가난할 빈,ひん、びん,まずしい
浜,물가 빈,ひん,はま
賓,손 빈,ひん,
頻,자주 빈,ひん,
氷,얼음 빙,ひょう,こおり、ひ
四,넉 사,し、よ、よつ、よん,
糸,실 사,し,いと
寺,절 사,じ,てら
社,모일 사,しゃ,やしろ
思,생각 사,し,おもう
写,베낄 사,しゃ,うつす、うつる
仕,섬길 사,し,つかえる
死,죽을 사,し,しぬ
事,일 사,じ、ず,こと
使,하여금 사,し,つかう
士,선비 사,し,
史,사기 사,し,
司,맡을 사,し,つかさどる
辞,말씀 사,じ,やめる
似,닮을 사,じ,にる
舎,집 사,しゃ,
査,조사할 사,さ,
師,스승 사,し,
飼,기를 사,し,かう
謝,사례할 사,しゃ,あやまる
私,사사로울 사,し,わたくし、わたし
砂,모래 사,さ、しゃ,すな
射,쏠 사,しゃ,いる
捨,버릴 사,しゃ,すてる
詞,말 사,し,
沙,모래 사,さ,すな
伺,엿볼 사,し,うかがう
邪,간사할 사,じゃ,
卸,풀 사,,おろす、おろし
唆,부추길 사,さ,そそのかす
斜,비스듬할 사,しゃ,ななめ
蛇,뱀 사,じゃ、だ,へび
赦,용서할 사,しゃ,
詐,속일 사,さ,
嗣,이을 사,し,つぐ
賜,줄 사,し,たまわる
削,갂을 삭,さく,けずる
山,뫼 산,さん,やま
算,셈 산,さん,
産,낳을 산,さん,うむ、うまれる、うぶ
散,흩을 산,さん,ちる、ちらす、ちらかす、ちらかる
酸,실 산,さん,すい
傘,우산 산,さん,かさ
殺,죽일 살、 덜 쇄,さつ、さい、せつ,ころす
三,석 삼,さん,み、みつ
森,수풀 삼,しん,もり
杉,삼나무 삼,,すぎ
挿,꽂을 삽,そう,さす
渋,떫을 삽,じゅう,しぶ、しぶい、しぶる
上,윗 상,じょう,うえ、うわ、かみ、あげる、あがる、のぼる
商,장사 상,しょう,あきなう
相,서로 상,そう、しょう,あい
想,생각 상,そう、そ,おもう
箱,상자 상,,はこ
象,코끼리 상,しょう、ぞう,
賞,상줄 상,しょう,ほめる、めでる
状,형상 상、 문서 장,じょう,
常,항상 상,じょう,つね、とこ
像,모양 상,ぞう,
傷,다칠 상,しょう,きず、いたむ、いためる
床,평상 상,しょう,とこ、ゆか
尚,오히려 상,しょう,
祥,상서로울 상,しょう,
桑,뽕나무 상,そう,くわ
爽,시원할 상,そう,さわやか
喪,잃을 상,そう,も
詳,자세할 상,しょう,くわしい
償,갚을 상,しょう,つぐなう
霜,서리 상,そう,しも
璽,옥새 새,じ,
色,빛 색,しょく、しき,いろ
索,찾을 색、 동아줄 삭,さく,
塞,막힐 색、 변방 새,そく、さい,ふさぐ、ふさがる
生,날 생,せい、しょう,いきる、いかす、いける、うまれる、はえる、なま
牲,희생 생,せい,
西,서녘 서,せい、さい,にし
書,글 서,しょ,かく
暑,더울 서,しょ,あつい
序,차례 서,じょ,
署,마을 서,しょ,
叙,펼 서,じょ,のべる
徐,천천히 할 서,じょ,おもむろ
逝,갈 서,せい,ゆく、いく
庶,여러 서,しょ,
婿,사위 서,せい,むこ
緒,실마리 서,しょ、ちょ,お
誓,맹세할 서,せい,ちかう
夕,저녁 석,せき,ゆう
石,돌 석,せき、しゃく、こく,いし
昔,예 석,せき、しゃく,むかし
席,자리 석,せき,
析,쪼갤 석,せき,
釈,풀 석,しゃく,
惜,아낄 석,せき,おしい、おしむ
潟,개펄 석,,かた
先,먼저 선,せん,さき
船,배 선,せん,ふね、ふな
線,줄 선,せん,
選,고를 선,せん,えらぶ
宣,베풀 선,せん,
善,착할 선,せん,よい
仙,신선 선,せん,
扇,부채 선,せん,おうぎ
旋,돌 선,せん,
羨,부러워할 선,せん,うらやむ、うらやましい
腺,샘 선,せん,
禅,선 선,ぜん,
膳,반찬 선,ぜん,
鮮,고울 선,せん,あざやか
繕,기울 선,ぜん,つくろう
雪,눈 설,せつ,ゆき
説,말씀 설、 달랠 세,せつ、ぜい,とく
舌,혀 설,ぜつ,した
設,베풀 설,せつ,もうける
繊,가늘 섬,せん,
渉,건널 섭,しょう,
摂,다스릴、 잡을 섭,せつ,
星,별 성,せい、しょう,ほし
声,소리 성,せい、しょう,こえ、こわ
成,이룰 성,せい、じょう,なす、なる
省,살필 성、 덜 생,せい、しょう,かえりみる、はぶく
性,성품 성,せい、しょう,
城,성 성,じょう,しろ
盛,성할 성,せい、じょう,もる、さかる、さかん
誠,정성 성,せい,まこと
聖,성인 성,せい,
姓,성씨 성,せい、しょう,
醒,깰 성,せい,さめる、さます
細,가늘 세,さい,ほそい、ほそる、こまか、こまかい
世,인간、 세상 세,せい、せ,よ
税,세금 세,ぜい,
勢,형세 세,せい,いきおい
洗,씻을 세,せん,あらう
歳,해 세,さい、せい,
小,작을 소,しょう,ちいさい、こ、お
少,적을 소,しょう,すくない、すこし
所,바 소,しょ,ところ
昭,밝을 소,しょう,
消,사라질 소,しょう,きえる、けす
笑,웃음 소,しょう,わらう、えむ
巣,새집 소,そう,す
焼,불사를 소,しょう,やく、やける
素,본디、 흴 소,す、そ,
召,부를 소,しょう,めす
沼,못 소,しょう,ぬま
咲,꽃필 소,,さく
宵,밤 소,しょう,よい
紹,이을 소,しょう,
掃,쓸 소,そう,はく
訴,호소할 소,そ,うったえる
疎,성길 소,そ,うとい、うとむ
塑,흙 빚을 소,そ,
遡,거스를 소,そ,さかのぼる
騒,떠들 소,そ,さわぐ、さわがしい
速,빠를 속,そく,はやい、はやめる、はやまる、すみやか
束,묶을 속,そく,たば、たばねる
続,이을 속,ぞく,つづく、つづける
属,무리 속,ぞく,
俗,풍속 속,ぞく,
孫,손자 손,そん,まご
損,덜 손,そん,そこなう、そこねる
遜,겸손할 손,そん,へりくだる
送,보낼 송,そう,おくる
松,소나무 송,しょう,まつ
訟,송사할 송,しょう,
刷,인쇄할 쇄,さつ,する
砕,부술 쇄,さい,くだく、くだける
鎖,쇠사슬 쇄,さ,くさり
衰,쇠할 쇠,すい,おとろえる
水,물 수,すい,みず
手,손 수,しゅ,て、た
首,머리 수,しゅ,くび
数,셈 수,すう、す,かず、かぞえる
守,지킬 수,しゅ、す,まもる、もり
受,받을 수,じゅ,うける、うかる
修,닦을 수,しゅう、しゅ,おさめる、おさまる
授,줄 수,じゅ,さずける、さずかる
輸,보낼 수,ゆ,
収,거둘 수,しゅう,おさまる、おさめる
垂,드리울 수,すい,たれる、たらす
樹,나무 수,じゅ,
囚,가둘 수,しゅう,
秀,빼어날 수,しゅう,ひいでる
寿,목숨 수,じゅ,ことぶき
狩,사냥할 수,しゅ,かる
帥,장수 수,すい,
捜,찾을 수,そう,さがす
殊,다를 수,しゅ,こと
袖,소매 수,しゅう,そで
粋,순수할 수,すい,いき
羞,부끄러울 수,しゅう,
遂,드디어 수,すい,とげる
須,모름지기 수,す,すべからく
痩,여윌 수,そう,やせる
随,따를 수,ずい,
睡,졸음 수,すい,
酬,갚을 수,しゅう,
愁,근심 수,しゅう,うれえる、うれい
需,쓰일、 쓸 수,じゅ,
誰,누구 수,,だれ
穂,이삭 수,すい,ほ
獣,짐승 수,じゅう,けもの
髄,뼛골 수,ずい,
宿,잘 숙,しゅく,やど、やどる、やどす
熟,익을 숙,じゅく,うれる
叔,아저씨 숙,しゅく,
淑,맑을 숙,しゅく,
粛,엄숙할 숙,しゅく,
塾,글방 숙,じゅく,
順,순할 순,じゅん,
純,순수할 순,じゅん,
旬,열흘 순,じゅん、しゅん,
巡,돌、 순행할 순,じゅん,めぐる
盾,방패 순,じゅん,たて
唇,입술 순,しん,くちびる
殉,따라죽을 순,じゅん,
循,돌 순,じゅん,
瞬,눈 깜짝일 순,しゅん,またたく
述,펼 술,じゅつ,のべる
術,재주 술,じゅつ,
崇,높을 숭,すう,
膝,무릎 슬,しつ,ひざ
拾,주울 습、 열 십,しゅう,ひろう
習,익힐 습,しゅう,ならう
湿,젖을 습,しつ,しめる、しめす、しめっぽい
襲,엄습할 습,しゅう,おそう
乗,탈 승,じょう,のる、のせる
勝,이길 승,しょう,かつ、まさる
承,이을 승,しょう,うけたまわる
升,되 승,しょう,ます
昇,오를 승,しょう,のぼる
僧,중 승,そう,
縄,노끈 승,じょう,なわ
市,저자 시,し,いち
矢,화살 시,し,や
時,때 시,じ,とき
始,비로소 시,し,はじめる、はじまる
詩,시 시,し,
試,시험 시,し,ためす、こころみる
示,보일 시,じ、し,しめす
視,볼 시,し,
侍,모실 시,じ,さむらい
柿,감나무 시,し,かき
施,베풀 시,し、せ,ほどこす
是,옳을 시,ぜ,
食,밥、 먹을 식,しょく、じき,たべる、くう、くらう
式,법 식,しき,
息,쉴 식,そく,いき
植,심을 식,しょく,うえる、うわる
識,알 식,しき,
拭,씻을 식,しょく,ふく、ぬぐう
殖,불릴 식,しょく,ふえる、ふやす
飾,꾸밀 식,しょく,かざる
新,새 신,しん,あたらしい、あらた、にい
申,거듭 신,しん,もうす
身,몸 신,しん,み
神,귀신 신,しん、じん,かみ、かん、こう
臣,신하 신,しん、じん,
信,믿을 신,しん,
迅,빠를 신,じん,
伸,펼 신,しん,のびる、のばす、のべる
辛,매울 신,しん,からい
娠,아이 밸 신,しん,
紳,신사 신,しん,
慎,삼갈 신,しん,つつしむ
腎,콩팥 신,じん,
薪,섶 신,しん,たきぎ
室,집 실,しつ,むろ
実,열매 실,じつ,み、みのる
失,잃을 실,しつ,うしなう
心,마음 심,しん,こころ
深,깊을 심,しん,ふかい、ふかまる、ふかめる
芯,등심초 심,しん,
甚,심할 심,じん,はなはだ、はなはだしい
尋,찾을 심,じん,たずねる
審,살필 심,しん,
十,열 십,じゅう,と、とお
双,두 쌍、 쌍,そう,ふた
氏,각시、 성씨 씨,し,うじ
児,아이 아,じ、に,
芽,싹 아,が,め
我,나 아,が,われ、わ
牙,어금니 아,が、け,きば
亜,버금 아,あが,
雅,맑을 아,が,
餓,주릴 아,が,
悪,악할 악、 미워할 오,あく、お,わるい
岳,큰 산 악,がく,たけ
握,쥘 악,あく,にぎる
顎,턱 악,がく,あご
顔,낯 안,がん,かお
安,편안 안,あん,やすい
岸,언덕 안,がん,きし
案,책상 안,あん,
眼,눈 안,がん、げん,まなこ
謁,뵐 알,えつ,
岩,바위 암,がん,いわ
暗,어두울 암,あん,くらい
俺,나 암,,おれ
闇,숨을 암,,やみ
圧,누를 압,あつ,
押,누를 압,おう,おう、おさえる
央,가운데 앙,おう,
仰,우러를 앙,ぎょう、こう,おおぐ、おおせ
愛,사랑 애,あい,
哀,슬플 애,あい,あわれ、あわれむ
挨,밀칠 애,あい,
涯,물가 애,がい,
崖,언덕 애,がい,がけ
曖,희미할 애,あい,
液,진 액,えき,
額,이마 액,がく,ひたい
厄,액 액,やく,
桜,앵두 앵,おう,さくら
夜,밤 야,や,よ、よる
野,들 야,や,の
冶,불릴 야,や,
弱,약할 약,じゃく,よわい、よわまる、よわめる、よわる
薬,약 약,やく,くすり
約,맺을 약,やく,
若,같을 약,じゃく、にゃく,わかい、もしくは
躍,뛸 약,やく,おどる
羊,양 양,よう,ひつじ
洋,큰 바다 양,よう,
陽,볕 양,よう,
様,모양 양,よう,さま
養,기를 양,よう,やしなう
揚,날릴 양,よう,あげる、あがる
瘍,헐 양,よう,
壌,흙덩이 양,じょう,
嬢,아가씨 양,じょう,
譲,사양할 양,じょう,ゆずる
醸,술빚을 양,じょう,かもす
魚,물고기 어,ぎょ,さかな、うお
語,말씀 어,ご,かたる、かたらう
漁,고기 잡을 어,ぎょ、きょう,
御,거느릴 어,ぎょ、ご,おん
億,억 억,おく,
抑,누를 억,よく,おさえる
憶,생각할 억,おく,
臆,가슴 억,おく,
言,말씀 언,げん、ごん,いう、こと
厳,엄할 엄,げん、ごん,おごそか、きびしい
業,업 업,ぎょう、ごう,わざ
余,나、 남을 여,よ,あまる、あます
与,더불、 줄 여,よ,あたえる
如,같을 여,じょ、にょ,
役,부릴 역,やく、えき,
駅,역 역,えき,
易,바꿀 역、 쉬울 이,えき、い,やさしい
逆,거스를 역,ぎゃく,さか、さからう
域,지경 역,いき,
訳,번역할 역,やく,わけ
疫,전염병 역,えき、やく,
研,갈 연,けん,とぐ
然,그럴 연,ぜん、ねん,
演,펼 연,えん,
燃,탈 연,ねん,もえる、もやす、もす
延,늘일 연,えん,のびる、のべる、のばす
沿,물 따라갈 연,えん,そう
宴,잔치 연,えん,
軟,연할 연,なん,やわらか、やわらかい
煙,연기 연,えん,けむり、けむる、けむい、けむたい
鉛,납 연,えん,なまり
縁,인연 연,えん,ふち
熱,더울 열,ねつ,あつい
悦,기쁠 열,えつ,
閲,볼 열,えつ,
塩,소금 염,えん,しお
染,물들 염,せん,そめる、そまる、しみる、しみ
炎,불꽃 염,えん,ほのお
捻,비틀 염,ねん,いねる
艶,고울 염,えん,つや、つややか、あでやか、たまめかしい
葉,잎 엽,よう,は
泳,헤엄칠 영,えい,およぐ
英,꽃부리 영,えい,
栄,영화 영,えい,さかえる、はえ
永,길 영,えい,ながい
営,경영할 영,えい,いとなむ
映,비칠 영,えい,うつる、うつす、はえる
迎,맞을 영,げい,むかえる
詠,읊을 영,えい,よむ
影,그림자 영,えい,かげ
予,미리 예,よ,あらかじめ
芸,재주 예,げい,
預,맡길、 미리 예,よ,あずける、あずかる
鋭,날카로울 예,えい,するどい
刈,벨 예,,かる
詣,이를 예,けい,もうでる
誉,기릴、 명예 예,よ,ほまれ
五,다섯 오,ご,いつ、いつつ
午,낮 오,ご,
誤,그르칠 오,ご,あやまる
汚,더러울 오,お,けがす、けがれる、けがらわしい、よごす、よごれる、きたない
呉,성씨 오,ご,
娯,즐길 오,ご,
悟,깨달을 오,ご,さとる
奥,깊을 오,おう,おく
傲,거만할 오,ごう,
玉,구슬 옥,ぎょく,たま
屋,집 옥,おく,や
沃,물 댈 옥,よく,
獄,감옥 옥,ごく,
温,따뜻할 온,おん,あたたかい、あたたまる、あたためる
穏,편안할 온,おん,おだやか
翁,늙은이 옹,おう,おきな
擁,낄 옹,よう,
瓦,기와 와,が,かわら
渦,소용돌이 와,か,うず
完,완전할 완,かん,
宛,완연할 완,,あてる
玩,희롱할 완,がん,
腕,팔뚝 완,わん,うで
頑,완고할 완,がん,
緩,느릴 완,かん,ゆるい、ゆるやか、ゆるむ、ゆるめる
王,임금 왕,おう,
往,갈 왕,おう,
旺,왕성할 왕,おう,
外,바깥 외,がい、げ,そと、ほか、はずす、はずれる
畏,두려워할 외,い,おそれる
曜,빛날 요,よう,
要,요긴할 요,よう,いる
凹,오목할 요,おう,ほこ、へこむ、へこます
妖,아리따울 요,よう,あやしい
揺,흔들 요,よう,ゆれる、ゆる、ゆらぐ、ゆるぐ、ゆする、ゆさぶる、ゆすぶる
腰,허리 요,よう,こし
窯,기와 가마 요,よう,かま
謡,노래 요,よう,うたい、うたう
浴,목욕할 욕,よく,あびる、あびせる
欲,하고자 할 욕,よく,ほっする、ほしい
辱,욕될 욕,じょく,はずかしめる
用,쓸 용,よう,もちいる
勇,날랠 용,ゆう,いさむ、いさましい
容,모양 용,よう,
冗,쓸데없을 용,じょう,
庸,떳떳할 용,よう,
湧,물 솟을 용,ゆう,わく
溶,녹을 용,よう,とける、とかす、とく
踊,뛸 용,よう,おどる、おどり
右,오른쪽 우,う、ゆう,みぎ
雨,비 우,う,あめ、あま
牛,소 우,ぎゅう,うし
友,벗 우,ゆう,とも
羽,깃 우,う,は、はね、わ
宇,집 우,う,
郵,우편 우,ゆう,
優,넉넉할 우,ゆう,やさしい、すぐれる
又,또 우,,また
芋,토란 우,,いも
偶,짝 우,ぐう,
遇,만날 우,ぐう,
隅,모퉁이 우,ぐう,すみ
愚,어리석을 우,ぐ,おろか
虞,염려할 우,ぐ,おそれ
憂,근심 우,ゆう,うれえる、うれい
雲,구름 운,うん,くも
運,옮길 운,うん,はこぶ
韻,운율 운,いん,
鬱,막힐 울,うつ,
雄,수컷 웅,ゆう,おす、お
熊,곰 웅,,くま
円,둥글 원,えん,まるい
元,으뜸 원,げん、がん,もと
原,언덕 원,げん,はら
遠,멀 원,えん、おん,とおい
園,동산 원,えん,その
院,집 원,いん,
員,인원 원,いん,
願,원할 원,がん,ねがう
源,근원 원,げん,みなもと
怨,원망할 원,えん、おん,うらむ
垣,담 원,,かき
援,도울 원,えん,
媛,미인 원,えん,ひめ
猿,원숭이 원,えん,さる
月,달 월,げつ、がつ,つき
越,넘을 월,えつ,こす、こえる
委,맡길 위,い,ゆだねる
位,자리 위,い,くらい
囲,에워쌀 위,い,かこむ、かこう
胃,밥통 위,い,
衛,지킬 위,えい,
危,위태할 위,き,あぶない、あやうい、あやぶむ
威,위엄 위,い,
為,할 위,い,ため、なす、なる
萎,시들 위,い,なえる、しおれる、しぼむ
偽,거짓 위,ぎ,にせ、いつわる
尉,벼슬 위,い,
偉,클 위,い,えらい
違,어긋날 위,い,ちがう、ちがえる
慰,위로할 위,い,なぐさめる、なぐさむ
緯,위도 위,い,
由,말미암을 유,ゆ、ゆう、ゆい,よし
有,있을 유,ゆう、う,ある
油,기름 유,ゆ,あぶら
遊,놀 유,ゆう、ゆ,あそぶ
幼,어릴 유,よう,おさない
乳,젖 유,にゅう,ちち、ち
遺,남길 유,い、ゆい,
柔,부드러울 유,じゅう、にゅう,やわらか、やわらかい
幽,그윽할 유,ゆう,
唯,오직 유,ゆい、い,ただ
悠,유유자적할 유,ゆう,
愉,즐거울 유,ゆ,
喩,비유할 유,ゆ,
猶,오히려 유,ゆう,
裕,넉넉할 유,ゆう,
誘,꾈 유,ゆう,さそう
維,벼리 유,い,
諭,타이를 유,ゆ,さとす
儒,선비 유,じゅ,
癒,병 나을 유,ゆ,いえる、いやす
六,여섯 육,ろく,む、むつ、むい、むっつ
肉,고기 육,にく,
育,기를 육,いく,そだつ、そだてる、はぐくむ
潤,불을 윤,じゅん,うるおう、うるおす、うるむ
融,녹을 융,ゆう,
銀,은 은,ぎん,
恩,은혜 은,おん,
隠,숨을 은,いん,かくす、かくれる
乙,새 을 ,おつ,
音,소리 음,おん、いん,おと、ね
飲,마실 음,いん,のむ
吟,읊을 음,ぎん,
陰,그늘 음,いん,かげ、かげる
淫,음란할 음,いん,みだら
泣,울 읍,きゅう,なく
応,응할 응,おう,こたえる
凝,엉길 응,ぎょう,こる、こらす
医,의원 의,い,
意,뜻 의,い,
衣,옷 의,い,ころも
議,의논할 의,ぎ,
義,옳을 의,ぎ,
疑,의심할 의,ぎ,うたがう
依,의지할 의,い、え,
宜,마땅 의,ぎ,
椅,의자 의,い,
儀,거동 의,ぎ,
擬,비길 의,ぎ,
二,두 이,に,ふた、ふたつ
耳,귀 이,じ,みみ
以,써 이,い,
移,옮길 이,い,うつる、うつす
異,다를 이,い,ことなる
弐,두、 갖은두 이,に,
餌,미끼 이,じ,えさ、え
益,더할 익,えき、やく,
翌,다음날 익,よく,
溺,빠질 익,でき,おぼれる
翼,날개 익,よく,つばさ
人,사람 인,じん、にん,ひと
引,끌 인,いん,ひく、ひける
印,도장 인,いん,しるし
因,인할 인,いん,よる
仁,어질 인,じん、に,
認,알 인,にん,みとめる
刃,칼날 인,じん,は
忍,참을 인,にん,しのぶ、しのばせる
姻,혼인 인,いん,
咽,목구멍 인,いん,むせぶ
一,한 일,いち、いっ,ひと、ひとつ
日,날 일,にち、じつ,ひ、か
壱,한、 갖은한 일,いち,
逸,편안할 일,いつ,
任,맡길 임,にん,まかせる、まかす
賃,품삯 임,ちん,
妊,아이밸 임,にん,
入,들 입,にゅう,いる、いれる、はいる
剰,남을 잉,じょう,
子,아들 자,し、す,こ
字,글자 자,じ,
自,스스로 자,じ、し,みずから
姉,손윗누이 자,し,あね、ねえ
者,놈 자,しゃ,もの
資,재물 자,し,
姿,모양 자,し,すがた
磁,자석 자,じ,
刺,찌를 자,し,さす、ささる
茨,가시나무 자,,いばら
恣,방자할 자,し,ほしいまま
紫,자주빛 자,し,むらさき
滋,불을 자,じ,
煮,삶을 자,しゃ,にる、にえる、にやす
慈,사랑 자,じ,いつくしむ
雌,암컷 자,し,めす、め
諮,물을 자,し,はかる
作,지을 작,さく、さ,つくる
昨,어제 작,さく,
酌,술 부을 작,しゃく,くむ
爵,벼슬 작,しゃく,
残,남을 잔,ざん,のこる、のこす
桟,사다리 잔,さん,
蚕,누에 잠,さん,かいこ
潜,잠길 잠,せん,ひそむ、もぐる
暫,잠깐 잠,ざん,
雑,섞일 잡,ざつ、ぞう,
長,긴 장,ちょう,ながい
場,마당 장,じょう,ば
章,글 장,しょう,
帳,장막 장,ちょう,
腸,창자 장,ちょう,
張,베풀 장,ちょう,はる
将,장수 장,しょう,
装,꾸밀 장,そう、しょう,よそおう
障,막을 장,しょう,さわる
蔵,감출 장,ぞう,くら
臓,오장 장,ぞう,
丈,어른 장,そう,たけ
匠,장인 장,しょう,
壮,장할 장,そう,
荘,씩씩할、 별장 장,そう,
掌,손바닥 장,しょう,
粧,단장할 장,しょう,
葬,장사지낼 장,そう,ほうむる
奨,장려할 장,しょう,
才,재주 재,さい,
材,재목 재,ざい,
再,두 재,さい、さ,ふたたび
在,있을 재,ざい,ある
災,재앙 재,さい,わざわい
財,재물 재,ざい、さい,
裁,마를 재,さい,たつ、さばく
宰,재상 재,さい,
栽,심을 재,さい,
斎,재계할、 집 재,さい,
載,실을 재,さい,のせる、のる
争,다툴 쟁,そう,あらそう
低,낮을 저,てい,ひくい、ひくめる、ひくまる
底,밑 저,てい,そこ
貯,쌓을 저,ちょ,
著,나타날 저,ちょ,あらわす、いちじるしい
狙,엿볼 저,そ,ねらう
抵,막을 저,てい,
邸,집 저,てい,
箸,젓가락 저,,はし
赤,붉을 적,せき、しゃく,あか、あかい、あからむ、あからめる
笛,피리 적,てき,ふえ
的,과녁 적,てき,まと
積,쌓을 적,せき,つむ、つもる
敵,맞을 적,てき,かなう
適,대적할 적,てき,かたき
績,길쌈할 적,せき,
寂,고요할 적,せき、じゃく,さび、さびしい、さびれる
賊,도둑 적,ぞく,
跡,발자취 적,せき,あと
滴,물방울 적,てき,しずく、したたる
嫡,정실 적,ちゃく,
摘,딸 적,てき,つむ
籍,문서 적,せき,
田,밭、 논 전,でん,た
前,앞 전,ぜん,まえ
電,번개 전,でん,
全,온전할 전,ぜん,まったく
転,구를 전,てん,ころがる、ころげる、ころがす、ころぶ
伝,전할 전,でん,つたえる、つたわる、つたう
典,법 전,てん,
戦,싸움 전,せん,いくさ、たたかう
銭,돈 전,せん,ぜに
専,오로지 전,せん,もっぱら
展,펼 전,てん,
栓,마개 전,せん,
殿,전각 전,でん、てん,との、どの
塡,메울 전、 누를 진,てん,
煎,달일 전,せん,いる
詮,설명할 전,せん,
箋,찌지 전,せん,
切,끊을 절、 모두 체,せつ、さい,きる、きれる
折,꺾을 절,せつ,おる、おれる
節,마디 절,せつ、せち,ふし
絶,끊을 절,ぜつ,たえる、たやす、たつ
窃,훔칠 절,せつ,
店,가게 점,てん,みせ
点,점 점,てん,
占,점령할、 점칠 점,せん,しめる、うらなう
粘,붙을 점,ねん,ねばる
漸,점점 점,ぜん,
接,이을 접,せつ,つぐ
正,바를 정,しょう、せい,ただしい、ただす、まさ
町,밭두둑 정,ちょう,まち
丁,고무래、 장정 정,ちょう、てい,
定,정할 정,てい、じょう,さだめる、さだまる、さだか
庭,뜰 정,てい,にわ
整,가지런할 정,せい,ととのう、ととのえる
停,머무를 정,てい,
静,고요할 정,せい、じょう,しずか、しずまる、しずめる
政,정사 정,せい、しょう,まつりごと
情,뜻 정,じょう、せい,なさけ
程,한도、 길 정,てい,ほど
精,정할 정,せい、しょう,
頂,정수리 정,ちょう,いただく、いたかき
井,우물 정,せい,い
丼,우물 정,とん,どんぶり
呈,드릴 정,てい,
廷,조정 정,てい,
征,칠 정,せい,
亭,정자 정,てい,
貞,곧을 정,てい,
訂,바로잡을 정,てい,
浄,깨끗할 정,じょう,
偵,염탐할 정,てい,
晶,맑을 정,しょう,
艇,배 정,てい,
錠,덩이 정,じょう,
弟,아우 제,てい、だい、で,おとうと
第,차례 제,だい,
祭,제사 제,さい,まつる、まつり
題,제목 제,だい,
制,절제할 제,せい,
提,끌 제,てい,さげる
製,지을 제,せい,
際,즈음 제,さい,きわ
除,덜 제,じょ、じ,のぞく
済,건널 제,さい,すむ、すます
諸,모두 제,しょ,
斉,가지런할 제,せい,
帝,임금 제,てい,
剤,약제 제,ざい,
堤,둑 제,てい,つつみ
早,이를 조,そう、さっ,はやい、はやまる、はやめる
鳥,새 조,ちょう,とり
組,짤 조,そ,くむ、くみ
朝,아침 조,ちょう,あさ
助,도울 조,じょ,たすける、たすかる、すけ
調,조사할 조,ちょう,しらべる、ととのう、ととのえる
兆,조 조,ちょう,きざす
照,비칠 조,しょう,てる、てらす、てれる
条,가지 조,じょう,
祖,할아버지 조,そ,
造,지을 조,ぞう,つくる
潮,밀물、조수 조,ちょう,しお
操,잡을 조,そう,みさお、あやつる
爪,손톱 조,,つめ、つま
弔,조상할 조,ちょう,とむらう
阻,막힐 조,そ,はばむ
租,조세 조,そ,
措,둘 조,そ,
曹,무리 조,そう,
粗,조잡할 조,そ,あらい
彫,새길 조,ちょう,ほる
眺,바라볼 조,ちょう,ながめる
釣,낚을、낚시 조,ちょう,つる
詔,조서 조,しょう,みことのり
遭,만날 조,そう,あう
嘲,비웃을 조,ちょう,あざける
槽,구유 조,そう,
燥,마를 조,そう,
繰,고치 켤 조,,くる
藻,마름 조,そう,も
足,발 족,そく,あし、たりる、たす
族,겨레 족,ぞく,
存,있을 존,そん、ぞん,
尊,높을 존,そん,たっとい、とうとい、たっとぶ、とうとぶ
卒,마칠 졸,そつ,
拙,옹졸할 졸,せつ,つたない
終,마칠 종,しゅう,おわる、おえる
種,씨 종,しゅ,たね
宗,마루 종,しゅう、そう,
従,좇을 종,じゅう、しょう、じゅ,したがう、したがえる
縦,세로 종,じゅう,たて
腫,종기 종,しゅ,はれる、はらす
踪,자취 종,そう,
鐘,쇠북 종,しょう,かね
左,왼 좌,さ,ひだり
席,자리 좌,ざ,すわる
佐,도울 좌,さ,
挫,꺾을 좌,ざ,
罪,허물 죄,ざい,つみ
走,달릴 주,そう,はしる
昼,낮 주,ちゅう,ひる
週,돌 주,しゅう,
主,주인 주,しゅ、す,ぬし、おも
州,고을 주,しゅう、す,
住,살 주,じゅう,すむ、すまう
注,부을 주,ちゅう,そそぐ
柱,기둥 주,ちゅう,はしら
酒,술 주,しゅ,さけ、さか
周,두루 주,しゅう,まわり
宙,집 주,ちゅう,
奏,연주할 주,そう,かなでる
株,주식 주,,かぶ
朱,붉을 주,しゅ,
船,배 주,しゅう,ふね、ふな
肘,팔꿈치 주,,ひじ
呪,빌 주,じゅ,
酎,진한 술 주,ちゅう,
珠,구슬 주,しゅ,
駐,머무를 주,ちゅう,
鋳,쇠불릴 주,ちゅう,いる
竹,대 죽,ちく,たけ
準,준비할 준,じゅん,
俊,준걸 준,しゅん,
准,승인할 준,じゅん,
遵,좇을 준,じゅん,
中,가운데 중,ちゅう、じゅう,なか
重,무거울 중,じゅう、ちょう,え、おもい、かさねる、かさなる
仲,버금 중,ちゅう,なか
衆,무리 중,しゅう、しゅ,
即,곧 즉,そく,
汁,즙 즙,じゅう,しる
証,증거 증,しょう,
